#name 	 spt 	 sval 	 Teff 	 Tefferr 	 V 	 ra 	 dec 	 vsini 	 vsinierr 	 rv 	 rverr 	 ref 	 achi 	 jd 	 obsra 	 obsdec 	 exptime 	 barycorr 	 obsnotes
alfCrv 	 F1V 	 39.0 	 7003.0 	 154.478274169 	 4.0 	 12 08 24.8165 	 -24 43 43.950 	 16.9 	 1.5 	 2.8 	 0.3 	 Soubiran2016Ammler-VonEiff2012Gontcharov2006 	 achi190703.1131.fits 	 2458668.57752 	 182.1125 	 -24.7325 	 33.79 	 -27.506347299 	 GOOD:20261.0-45999.0
HD40136 	 F1V 	 39.0 	 7009.5 	 134.652948971 	 3.72 	 05 56 24.2930 	 -14 10 03.719 	 16.99 	 nan 	 -0.91 	 1.09 	 Soubiran2016Martinez-Arnaiz2010Gaia2018 	 achi181022.1417.fits 	 2458414.84491 	 89.1135 	 -14.1637222222 	 63.42 	 20.2208649708 	 GOOD:68550.1-176408.0
ksiOph 	 F2V 	 38.0 	 6763.5 	 118.786573315 	 4.39 	 17 21 00.3752 	 -21 06 46.566 	 19.5 	 1.0 	 -8.93 	 0.3 	 Soubiran2016Ammler-VonEiff2012Gaia2018 	 achi190701.1171.fits 	 2458666.70735 	 260.257 	 -21.11675 	 40.788 	 -9.5957207681 	 GOOD:20449.8-45450.8
58Oph 	 F5V 	 35.0 	 6409.0 	 94.8765279485 	 4.873 	 17 43 25.7937 	 -21 40 59.498 	 11.8 	 0.6 	 10.16 	 0.23 	 Soubiran2016Ammler-VonEiff2012Gaia2018 	 achi190618.1180.fits 	 2458653.85836 	 265.868333333 	 -21.6876666667 	 150.0 	 -0.88825510351 	 GOOD-underexposed:13751.6-34988.8
53Vir 	 F5.5V 	 34.5 	 6375.0 	 427.8392335 	 5.04 	 13 12 03.5438 	 -16 11 54.968 	 11.7 	 1.0 	 -12.02 	 0.19 	 Soubiran2016Ammler-VonEiff2012Gaia2018 	 achi190804.1124.fits 	 2458700.55728 	 198.023583333 	 -16.2036111111 	 150.0 	 -27.6967078112 	 GOOD:26430.6-90034.5
HD30652 	 F6V 	 34.0 	 6431.5 	 171.748500721 	 3.19 	 04 49 50.4109 	 +06 57 40.588 	 16.8 	 0.4 	 22.54 	 3.76 	 Soubiran2016Marsden2014Gaia2018 	 achi180913.1184.fits 	 2458375.93957 	 72.4740416667 	 6.96186111111 	 60.0 	 28.0400844918 	 GOOD:72203.0-192875.0
tauPsA 	 F6V 	 34.0 	 6372.0 	 85.6512632066 	 4.92 	 22 10 08.7805 	 -32 32 54.269 	 14.1 	 0.7 	 -16.259 	 0.1 	 Soubiran2016Ammler-VonEiff2012Nidever2002 	 achi190705.1168.fits 	 2458670.89137 	 332.54675 	 -32.54725 	 150.0 	 17.1569238708 	 GOOD-underexposed:14624.1-35472.4
HD38393 	 F6V 	 34.0 	 6302.0 	 279.306858111 	 3.6 	 05 44 27.7909 	 -22 26 54.181 	 9.84 	 nan 	 -9.19 	 0.19 	 Soubiran2016Martinez-Arnaiz2010Montes2018 	 achi190421.1120.fits 	 2458595.49016 	 86.1195416667 	 -22.4508611111 	 19.705 	 -17.0820254804 	 GOOD-underexposed:19791.8-46761.2
20Oph 	 F7V 	 33.0 	 6382.0 	 86.8710730527 	 4.646 	 16 49 50.0161 	 -10 46 58.778 	 12.0 	 nan 	 1.56 	 0.27 	 Soubiran2016Takeda2005Gaia2018 	 achi190701.1165.fits 	 2458666.70662 	 252.463166667 	 -10.7858888889 	 71.193 	 -13.3746407784 	 GOOD-underexposed:19861.8-46014.6
gamPav 	 F9V 	 31.0 	 6072.0 	 139.909399255 	 4.22 	 21 26 26.6049 	 -65 21 58.315 	 3.7 	 0.7 	 -29.84 	 0.19 	 Soubiran2016Ammler-VonEiff2012Gaia2018 	 achi190830.1140.fits 	 2458726.64252 	 321.608166667 	 -65.3601388889 	 30.05 	 -12.7711591092 	 GOOD-underexposed:16250.2-49617.9
HD34721 	 G0V 	 30.0 	 6001.0 	 31.8157193852 	 5.96 	 05 18 50.4729 	 -18 07 48.184 	 4.4 	 0.2 	 40.448 	 0.1 	 Soubiran2016Ammler-VonEiff2012Nidever2002 	 achi191029.1166.fits 	 2458787.00317 	 79.7192916667 	 -18.1300555556 	 400.0 	 14.0513143674 	 GOOD:27807.6-75443.4
HD9562 	 G1V 	 29.0 	 5851.5 	 65.9040123435 	 5.76 	 01 33 42.8361 	 -07 01 31.234 	 4.2 	 0.5 	 -14.989 	 0.1 	 Soubiran2016Marsden2014Nidever2002 	 achi191029.1141.fits 	 2458786.78571 	 23.4318333333 	 -7.02483333333 	 300.0 	 -9.31539793909 	 GOOD-underexposed:12448.0-40044.2
HD38858 	 G2V 	 28.0 	 5730.0 	 37.8752276821 	 5.97 	 05 48 34.9399 	 -04 05 40.715 	 4.2 	 nan 	 31.543 	 0.1 	 Soubiran2016Schroeder2009Nidever2002 	 achi191029.1172.fits 	 2458787.01397 	 87.1531666667 	 -4.09572222222 	 400.0 	 19.8391446547 	 GOOD-underexposed:11939.4-36196.9
HD114613 	 G3V 	 27.0 	 5703.0 	 45.5341561358 	 5.55 	 13 12 03.1850 	 -37 48 10.890 	 2.381 	 0.229 	 -12.85 	 0.18 	 Soubiran2016Soto2018Gaia2018 	 achi190801.1133.fits 	 2458697.61468 	 198.021125 	 -37.8054444444 	 119.476 	 -26.0485552855 	 GOOD-underexposed:12835.3-56043.8
HD10700 	 G8V 	 22.0 	 5331.0 	 96.8993521364 	 3.5 	 01 44 04.0834 	 -15 56 14.926 	 3.26 	 nan 	 -16.619 	 0.1 	 Soubiran2016Martinez-Arnaiz2010Nidever2002 	 achi180728.1203.fits 	 2458328.94374 	 26.012 	 -15.9328055556 	 60.0 	 25.1525017686 	 GOOD:53397.9-153564.0
epsFor 	 G9V 	 21.0 	 5078.0 	 114.348797545 	 5.85 	 03 01 37.6369 	 -28 05 29.596 	 4.2 	 nan 	 42.718 	 0.1 	 Soubiran2016Schroeder2009Nidever2002 	 achi191030.1133.fits 	 2458787.72822 	 45.416375 	 -28.0881666667 	 400.0 	 -2.31832817591 	 GOOD:25796.3-102131.0
41Ara 	 K0V 	 20.0 	 5256.0 	 64.3225291411 	 5.48 	 17 19 03.8357 	 -46 38 10.447 	 4.5 	 nan 	 25.3 	 0.1 	 Soubiran2016Schroeder2009Ramirez2007 	 achi190701.1169.fits 	 2458666.73783 	 259.775625 	 -46.6384722222 	 138.669 	 -8.19352877211 	 GOOD-underexposed:14953.7-60362.8
12Oph 	 K1V 	 19.0 	 5270.0 	 48.976805735 	 5.77 	 16 36 21.4498 	 -02 19 28.520 	 2.2 	 0.4 	 -12.857 	 0.1 	 Soubiran2016Marsden2014Nidever2002 	 achi190701.1163.fits 	 2458666.78097 	 249.09625 	 -2.32747222222 	 300.0 	 -14.996921447 	 GOOD-underexposed:16632.2-70285.3
HD22049 	 K2V 	 18.0 	 5084.0 	 67.2408424878 	 3.73 	 03 32 55.8449 	 -09 27 29.731 	 2.4 	 0.4 	 16.332 	 0.1 	 Soubiran2016Marsden2014Nidever2002 	 achi181022.1408.fits 	 2458414.79326 	 53.2422083333 	 -9.45613888889 	 37.927 	 7.95716582978 	 GOOD:31623.2-133038.0
HD16160 	 K3V 	 17.0 	 4856.0 	 110.953957173 	 5.83 	 02 36 04.8947 	 +06 53 12.747 	 2.9 	 0.4 	 25.766 	 0.1 	 Soubiran2016Marsden2014Nidever2002 	 achi181106.1135.fits 	 2458429.67067 	 39.042 	 6.89938888889 	 120.0 	 -3.29485764991 	 GOOD-underexposed:11148.3-54750.9
HD131977 	 K4V 	 16.0 	 4607.0 	 73.9610549838 	 5.72 	 14 57 28.0015 	 -21 24 55.713 	 3.9 	 nan 	 26.961 	 0.1 	 Soubiran2016Schroeder2009Nidever2002 	 achi190616.1166.fits 	 2458651.78241 	 224.391333333 	 -21.4299722222 	 174.636 	 -17.9734219452 	 GOOD-underexposed:10996.7-74287.3
epsInd 	 K5V 	 15.0 	 4642.0 	 77.2464740391 	 4.69 	 22 03 21.6581 	 -56 47 09.517 	 2.493 	 0.11 	 -40.5 	 0.23 	 Soubiran2016Soto2018Gaia2018 	 achi190701.1203.fits 	 2458666.8462 	 330.880791667 	 -56.7993611111 	 59.902 	 10.8934963024 	 GOOD-underexposed:14999.4-77785.4
HD191849 	 M0V 	 10.0 	 3548.5 	 13.5 	 7.966 	 20 13 53.3977 	 -45 09 50.472 	 1.0 	 nan 	 -33.46 	 0.52 	 Soubiran2016Torres2006Gaia2018 	 achi190407.1179.fits 	 2458582.30636 	 303.490791667 	 -45.1564166667 	 1200.0 	 26.5250630006 	 GOOD-underexposed:13598.9-125938.0
HD217987 	 M2V 	 8.0 	 3678.0 	 40.9046146541 	 7.34 	 23 05 52.0361 	 -35 51 11.048 	 2.7 	 0.5 	 8.17 	 0.14 	 Soubiran2016Desidera2015Gaia2018 	 achi190802.1168.fits 	 2458699.02615 	 346.512625 	 -35.8428888889 	 776.434 	 9.25955155721 	 GOOD-underexposed:10018.0-117018.0
HD24160 	 G7III 	 -77.0 	 5076.5 	 45.4498349832 	 4.17 	 03 49 27.2453 	 -36 12 00.904 	 nan 	 nan 	 2.62 	 0.23 	 Soubiran2016Gaia2018 	 achi190420.1116.fits 	 2458594.48774 	 57.371375 	 -36.1966666667 	 78.991 	 -4.02213035872 	 GOOD-underexposed:12039.2-64222.9
ThetaCet 	 K0III 	 -80.0 	 4723.5 	 88.6748801804 	 3.59 	 01 24 01.4053 	 -08 10 59.721 	 2.7 	 nan 	 17.2 	 0.5 	 Soubiran2016Massarotti2008Gontcharov2006 	 achi181106.1134.fits 	 2458429.63787 	 21.0135833333 	 -8.18116666667 	 30.0 	 -14.0531199209 	 GOOD:25156.5-123402.0
NVel 	 K5III 	 -85.0 	 nan 	 nan 	 3.158 	 09 31 13.352400 	 -57 02 03.81012 	 1.0 	 nan 	 -14.39 	 0.33 	 Gaia2018Nascimbeni2016deMedeiros2014 	 achi181116.1168.fits 	 2458439.86301 	 142.812375 	 -57.0221666667 	 20.0 	 10.3115016875 	 GOOD-underexposed:10821.0-158904.0
HD111613 	 B9.5I 	 -149.5 	 9150.0 	 1006.92005641 	 5.72 	 12 51 17.9764 	 -60 19 47.23 	 27.3 	 6.0 	 -21.9 	 1.4 	 Soubiran2016Ammler-VonEiff2012Gontcharov2006 	 achi190729.1129.fits 	 2458694.65406 	 192.837166667 	 -60.3309444444 	 172.762 	 -19.3776600794 	 GOOD-underexposed:12863.5-50090.9
