#name    	ra         	dec         	V    	spt  	Teff   	Tefferr	rv      	rverr  	rvref         	vsini	vsinierr	vsiniref           	exptime 	jd           	barycorr
HD50281  	06 06 18.05	-05 -05 25.4	6.57	K3.5V	4712.0	107.4	-7.082	0.1	Nidever2002   	3.9	nan     	Schroder2009       	600.0	2458886.83728	-14.696
HD131977 	14 14 28.0	-21 -21 55.7	5.72	K4V	4624.0	75.6	26.961	0.1	Nidever2002   	3.9	nan     	Schroder2009       	174.636	2458651.78241	-17.973
HD36003  	05 05 26.1	-03 -03 58.4	7.642	K5V	4568.0	38.9	-55.527	0.1	Nidever2002   	3.35	nan     	Martinez-Arnaiz2010	1200.0	2458888.03866	-22.68
epsInd   	22 22 21.66	-56 -56 09.5	4.69	K5V	4649.0	113.7	-40.038	0.1	Yep2020       	2.493	0.11    	Soto2018           	59.902	2458666.8462	10.893
HD217357 	23 23 16.12	-22 -22 27.7	7.869	K7V	3944.0	203.5	16.42	0.1	Nidever2002   	3.21	nan     	Martinez-Arnaiz2010	1027.318	2458702.16615	10.956
HD191849 	20 20 53.4	-45 -45 50.5	7.966	M0V	3548.5	13.5	-33.46	0.52	Gaia2018      	1.0	nan     	Torres2006         	1200.0	2458582.30636	26.525
HD42581  	06 06 34.62	-21 -21 52.7	8.125	M1V	3814.0	nan	4.724	0.1	Nidever2002   	6.4	nan     	Schroder2009       	1200.0	2458883.96644	-14.076
HD217987 	23 23 52.04	-35 -35 11.0	7.34	M2V	3678.0	40.9	8.17	0.14	Gaia2018      	2.7	0.5     	Desidera2015       	776.434	2458699.02615	9.26
GJ1061   	03 03 59.7	-44 -44 45.7	13.07	M5.5V	nan	nan	14.49907	0.00204	Barnes2014    	5.0	5.0     	Barnes2014         	1200.0	2458891.93106	-13.759
HD24160  	03 03 27.25	-36 -36 00.9	4.17	G7III	5064.0	65.0	2.62	0.23	Gaia2018      	1.0	1.0     	nan                	78.991	2458594.48774	-4.022
ThetaCet 	01 01 01.41	-08 -08 59.7	3.59	K0III	4697.0	89.2	17.2	0.5	Gontcharov2006	2.7	nan     	Massarotti2008     	30.0	2458429.63787	-14.053
HD201381 	21 21 35.65	-11 -11 18.1	4.52	K0III	4990.0	52.4	-11.26	0.15	Gaia2018      	8.0	nan     	Bernacca1970       	57.626	2458706.85842	-1.533
HD25723  	04 04 22.72	-12 -12 32.3	5.622	K1III	4714.5	60.5	26.748	0.1	Nidever2002   	1.0	nan     	nan                	300.0	2458886.65109	-25.4
NVel     	09 09 13.35	-57 -57 03.8	3.158	K5III	4105.0	nan	-14.39	0.33	deMedeiros2014	1.0	nan     	deMedeiros2014     	20.0	2458439.86301	10.312
HD111613 	12 12 17.98	-60 -60 47.2	5.72	B9.5I	8082.0	1068.0	-21.9	1.4	Gontcharov2006	27.3	6.0     	Ammler-VonEiff2012 	172.762	2458694.65406	-19.378
