#name    	ra         	dec        	V    	spt  	Teff   	Tefferr	rv     	rverr	rref	vsini	vsinierr	vref	[Fe/H]	fref	exptime	jd         	barycorr
171Pup   	07 45 35.02	-34 10 20.5	5.37	F9V	5727.0	123.1	106.159	0.1	7 	4.4	0.2     	25	-0.78	38	300.0	2458917.643	-11.243
gamPav   	21 26 26.6	-65 21 58.3	4.22	F9V	6072.0	137.9	-29.84	0.19	37	3.7	0.7     	25	-0.7	38	30.0	2458726.643	-12.771
HD34721  	05 18 50.47	-18 07 48.2	5.96	G0V	6001.0	96.5	40.448	0.1	7 	4.4	0.2     	25	-0.07	10	400.0	2458787.003	14.051
HD9562   	01 33 42.84	-07 01 31.2	5.76	G1V	5851.5	63.3	-14.989	0.1	7 	4.2	0.5     	29	0.26	10	300.0	2458786.786	-9.315
18Sco    	16 15 37.27	-08 22 10.0	5.5	G2V	5799.0	122.6	11.748	0.1	7 	2.6	0.5     	29	0.03	10	300.0	2458925.957	26.802
HD38858  	05 48 34.94	-04 05 40.7	5.97	G2V	5733.0	421.9	31.543	0.1	7 	4.2	nan     	21	-0.23	10	400.0	2458787.014	19.839
HD114613 	13 12 03.19	-37 48 10.9	5.55	G3V	5675.5	43.3	-12.85	0.18	37	2.381	0.229   	40	0.24	10	119.0	2458697.615	-26.049
HD59967  	07 30 42.51	-37 20 21.7	6.635	G3V	5825.5	53.8	9.37	0.18	37	3.4	nan     	21	-0.06	38	800.0	2458888.872	-4.143
HD4391   	00 45 45.59	-47 33 07.1	5.8	G3V	5878.0	63.5	-11.01	0.21	37	5.0	nan     	21	-0.08	38	300.0	2458424.761	-16.983
HD111031 	12 46 30.84	-11 48 44.8	6.87	G5V	5782.0	44.8	-20.458	0.1	7 	1.728	0.273   	40	0.28	10	1000.0	2458895.182	22.603
HD90156  	10 23 55.27	-29 38 43.9	6.92	G5V	5619.0	31.3	26.934	0.1	7 	0.73	0.236   	40	-0.21	10	1000.0	2458888.169	12.828
HD21019  	03 23 17.7	-07 47 38.8	6.2	G5.5V	5468.0	78.0	41.63	0.1	7 	2.502	0.419   	40	-0.36	10	500.0	2458791.905	1.448
HD115617 	13 18 24.31	-18 18 40.3	4.74	G6.5V	5557.0	56.5	-7.85	0.1	7 	3.9	0.9     	25	0.05	10	120.0	2458723.506	-22.668
HD10700  	01 44 04.08	-15 56 14.9	3.5	G8V	5339.5	102.4	-16.619	0.1	7 	3.26	nan     	23	-0.52	10	60.0	2458328.944	25.153
epsFor   	03 01 37.64	-28 05 29.6	5.85	G9V	5078.0	110.7	38.508	0.1	41	4.2	nan     	21	-0.57	10	400.0	2458787.728	-2.318
HD100623 	11 34 29.49	-32 49 52.8	5.98	K0V	5164.5	71.5	-21.959	0.1	7 	6.79	nan     	23	-0.37	10	300.0	2458884.958	20.335
41Ara    	17 19 03.84	-46 38 10.4	5.48	K0V	5241.0	60.4	25.944	0.1	41	4.5	nan     	21	-0.34	10	139.0	2458666.738	-8.194
HD26965  	04 15 16.32	-07 39 10.3	4.43	K0V	5153.0	395.2	-42.331	0.1	7 	0.5	0.3     	29	-0.28	10	70.0	2458887.584	-26.165
12Oph    	16 36 21.45	-02 19 28.5	5.77	K1V	5263.5	47.0	-12.857	0.1	7 	2.2	0.4     	29	0.07	10	300.0	2458666.781	-14.997
HD22049  	03 32 55.84	-09 27 29.7	3.73	K2V	5084.0	71.3	16.332	0.1	7 	2.4	0.4     	29	-0.03	10	19.0	2458414.785	7.981
HD32147  	05 00 49.0	-05 45 13.2	6.21	K3V	4805.5	95.4	21.552	0.1	7 	1.7	0.4     	29	0.33	10	500.0	2458863.775	-17.705
HD16160  	02 36 04.89	+06 53 12.7	5.83	K3V	4858.0	95.8	24.493	0.1	41	2.9	0.4     	29	-0.12	10	120.0	2458429.671	-3.295
HD50281  	06 52 18.05	-05 10 25.4	6.57	K3.5V	4712.0	107.4	-7.082	0.1	7 	3.9	nan     	21	0.14	10	600.0	2458886.837	-14.696
HD103932 	11 57 56.21	-27 42 25.4	6.964	K4V	4560.0	124.0	48.499	0.1	7 	4.4	nan     	21	0.11	35	700.0	2458902.995	16.414
HD131977 	14 57 28.0	-21 24 55.7	5.72	K4V	4624.0	75.6	26.961	0.1	7 	3.9	nan     	21	0.12	10	175.0	2458651.782	-17.973
HD36003  	05 28 26.1	-03 29 58.4	7.642	K5V	4568.0	38.9	-55.035	0.068	41	3.35	nan     	23	-0.06	35	1200.0	2458888.039	-22.68
epsInd   	22 03 21.66	-56 47 09.5	4.69	K5V	4649.0	113.7	-40.057	0.1	41	2.493	0.11    	40	-0.16	35	60.0	2458666.846	10.893
HD217357 	23 00 16.12	-22 31 27.7	7.869	K7V	3944.0	203.5	15.739	0.219	41	3.21	nan     	23	-0.11	1 	1027.0	2458702.166	10.956
HD32450  	05 02 28.42	-21 15 23.9	8.32	K7V	nan	nan	-15.881	0.245	41	5.4	nan     	21	-0.34	2 	1200.0	2458887.985	-20.165
HD111631 	12 50 43.57	-00 46 05.3	8.47	M0V	3834.0	131.6	5.041	0.1	7 	1.0	nan     	nan	0.21	2 	1200.0	2458900.293	19.924
HD191849 	20 13 53.4	-45 09 50.5	7.966	M0V	3548.5	13.5	-33.46	0.52	37	1.0	nan     	13	nan	nan	1200.0	2458582.306	26.525
HD42581  	06 10 34.62	-21 51 52.7	8.125	M1V	3814.0	nan	4.724	0.1	7 	6.4	nan     	21	0.02	2 	1200.0	2458883.966	-14.076
HD36395  	05 31 27.4	-03 40 38.0	7.968	M1.5V	3737.0	58.0	8.665	0.1	7 	2.73	nan     	22	0.43	1 	1200.0	2458888.054	-22.388
HD217987 	23 05 52.04	-35 51 11.0	7.34	M2V	3678.0	40.9	8.17	0.14	37	2.7	0.5     	33	-0.15	1 	776.0	2458699.026	9.26
GJ273    	07 27 24.5	+05 13 32.8	9.872	M3.5V	nan	nan	18.216	0.1	7 	1.0	nan     	nan	0.02	2 	1200.0	2458908.99	-21.112
GJ1061   	03 35 59.7	-44 30 45.7	13.07	M5.5V	nan	nan	1.327	0.269	41	5.0	5.0     	27	nan	nan	1200.0	2458891.931	-13.759
HD24160  	03 49 27.25	-36 12 00.9	4.17	G7III	5064.0	65.0	2.62	0.23	37	1.0	1.0     	nan	0.15	28	79.0	2458594.488	-4.022
HD9270   	01 31 29.01	+15 20 45.0	3.62	G8III	4923.0	25.2	13.78	0.17	18	8.4	7.0     	18	-0.09	34	30.0	2458749.807	12.909
ThetaCet 	01 24 01.41	-08 10 59.7	3.59	K0III	4697.0	89.2	15.969	0.059	41	2.7	nan     	18	-0.1	16	30.0	2458429.638	-14.053
HD201381 	21 09 35.65	-11 22 18.1	4.52	K0III	4990.0	52.4	-11.26	0.15	37	8.0	nan     	4 	0.07	16	58.0	2458706.858	-1.533
HD25723  	04 04 22.72	-12 47 32.3	5.622	K1III	4714.5	60.5	26.748	0.1	7 	1.0	nan     	nan	-0.03	14	300.0	2458886.651	-25.4
HD26846  	04 14 23.69	-10 15 22.6	4.86	K2III	4579.5	615.8	6.8	0.8	11	1.6	nan     	18	0.15	19	100.0	2458890.549	-25.767
chiSco   	16 13 50.91	-11 50 15.9	5.252	K3III	4310.0	86.9	-23.611	0.1	4 	8.0	nan     	7 	-0.01	14	200.0	2458909.911	29.537
NVel     	09 31 13.35	-57 02 03.8	3.158	K5III	4105.0	nan	-14.39	0.33	32	1.0	nan     	32	nan	nan	20.0	2458439.863	10.312
HD111613 	12 51 17.98	-60 19 47.2	5.72	B9.5I	8082.0	1068.0	-21.9	1.4	11	27.3	6.0     	25	0.34	28	173.0	2458694.654	-19.378
